Name,Description,Designator,Quantity
,,,
EVP-AWED4A,Switch,"BOOT, RST",2
GCM155R71C104KA55D,CAP CER 0.1UF 16V X7R 0402,"C1, C4, C5, C6, C8, C10, C11, C15",8
GCM1555C1H180JA16D,CAP CER 18PF 50V NP0 0402,"C2, C3",2
EEEFK1C101P,Aluminum Electrolytic Capacitors; 100 uF; 16 V; 5.3x5.8mm; 20 %; -55 °C to 105 °C,"C7, C16, C17",3
GRJ155R60J106ME11D,CAP CER 10UF 6.3V X5R 0402,"C9, C14, C22, C23",4
GCM188R71C105KA64D,CAP CER 1UF 16V X7R 0603,"C12, C20, C21",3
GRM155R60J684KE19D,CAP CER 0.68UF 6.3V X5R 0402,C13,1
GRM188R61A124KA01D,CAP CER 0.12UF 10V X5R 0603,"C18, C19",2
USB4110-GF-A,"Connector, USB TYPE-C, Receptacle, Surface Mount, Right Angle, GCT USB4110-GF-A",CON_USB1,1
"PRTR5V0U2X,215",TVS DIODE 5.5V SOT143B,D1,1
B5819WS-TP,DIODE SCHOTTKY 40V 1A SOD323,"D2, D4, D5",3
APHHS1005CGCK,LED GREEN CLEAR CHIP SMD,D3,1
742792651,FERRITE BEAD 600 OHM 0603 1LN,"FB2, FB3",2
ESP32-S3FH4R2,IC RF TXRX+MCU BLE 56QFN,IC2,1
NCP164ASN330T1G,IC REG LINEAR 3.3V 300MA 5-TSOP,IC3,1
53261-1471,CONN HEADER SMD R/A 14POS 1.25MM,J1,1
PJ-102B,"Through Hole Right Angle DC Power Jack, 2.5 A, 2.5 mm Center Pin, 3 Position, -25 to 85 degC, RoHS, Bulk",J2,1
22-05-7035,CONN HEADER R/A 3POS 2.5MM MOLEX,MOTOR CON,1
R-78K5.0-0.5,0.5A DC/DC-CONVERTER 'INNOLINE',PS1,1
MMSS8550-H-TP,TRANS PNP 25V 1.5A SOT23,Q1,1
ERJ-2GEJ102X,RES SMD 1K OHM 5% 1/10W 0402,"R1, R2, R6",3
ERJ-2RKF22R0X,RES SMD 22 OHM 1% 1/10W 0402,"R3, R4",2
ERJ-2RKF3300X,RES SMD 330 OHM 1% 1/10W 0402,"R5, R9, R10, R11",4
ERJ-2GEJ103X,RES SMD 10K OHM 5% 1/10W 0402,"R7, R8, R12, R13, R14, R15, R16, R17",8
SM04B-SRSS-TB_LF__SN_,CONN HEADER SMD R/A 4POS 1MM,"SArray1, SArray2",2
SN74LVC1G126DBVT,IC BUF NON-INVERT 5.5V SOT23-5,U1,1
SN74LVC1G125DBVT,IC BUF NON-INVERT 5.5V SOT23-5,U2,1
BNO055,IMU ACCEL/GYRO/MAG I2C 28LGA,U3,1
ABM8G-40.000MHZ-18-D2Y-T,Crystal 40MHz ±20ppm (Tol) ±30ppm (Stability) 18pF FUND 50? 4-Pin SMD T/R,Y1,1
